topicName,subtopic,sub-subgroup,tweet,hashtags,emojis,Date
Art and Entertainment,Social Media,YouTube,"RT @taylorcaniff: I'll see you soon though Australia, but hey I wanna make you'll laugh look at my recent snapchats ahaha",,,13-Mar-15
Sports,Boxing,,"RT @iboxcustomise: COMPETITON!
To win a signed iBox Customise Glove by @AmirKingKhan simple FOLLOW us and RETWEET this tweet!
#Boxing https://t.co/hxc6Ad27Zi",Boxing,,25-Jan-14
Sports,Sports News,,"RT @SportsNation: ""Okay we want you to line up from tallest to shortest...""
(via @AdamZagoria) https://t.co/5BQxZoLfJg",,,26-Jul-15
Art and Entertainment,Music,,RT @zanelowe: Today #WorldRecord from @rivertiber // #WorldFirst from @KygoMusic &amp; @alliex // #ShoutYourTown 👉📱🎵🔊💯🌍 https://t.co/wSDiK7whxG,"WorldRecord,WorldFirst,ShoutYourTown","point_right,iphone,musical_note,loud_sound,100,earth_africa",21-Jun-12
Art and Entertainment,Music,,RT @iHeartRadio: .@JustinBieber does his best @MileyCyrus impression (WATCH) https://t.co/oQiYK54zjg https://t.co/Vj6LtitW9B,,,7-Nov-12
Art and Entertainment,Music,,"RT @CapitalOfficial: ""Everybody... This is HAIR!"" @LittleMix 😍😍😍😍 #CapitalSTB https://t.co/ocXzYiEYw7",CapitalSTB,"heart_eyes,heart_eyes,heart_eyes,heart_eyes",24-Jul-14
Sports,Soccer,,"RT @ChelseaFC: Congratulations to @rubey_lcheek, our Young Player of the Year! #CFCPOTY2016 https://t.co/ff6NAb0BEu",CFCPOTY2016,,15-Feb-16
Art and Entertainment,,,RT @tyleroakley: had a lovely stroll with one of my all-time favorites this morning... @FinnHarries warms my heart https://t.co/gwJSCoirnb,,,3-Sep-12
Art and Entertainment,Comedy,,"RT @FreddyAmazin: #growingupshy 

Person: would u like some water or anything? 

Me: oh no thank you I'm fine https://t.co/NG5pyzywFG",growingupshy,,12-May-13
Sports,Mixed Martial Arts,,RT @TheNotoriousMMA: I've got my bills paid. My money made. And the entire game slayed. #YourMove https://t.co/wOgbNgUPVd,YourMove,,14-Jul-15
Sports,Basketball,,"RT @POTUS: Big night of basketball - @Warriors chasing 73 and a farewell for an
all-timer, @KobeBryant. NBA fans feeling like: https://t.co/hvno2ZO5b0",,,7-Aug-12
Sports,Soccer,,RT @footbalIfights: The Norwegian 6th division is a dark place https://t.co/vCVi55poxg,,,17-Aug-14
Art and Entertainment,Music,,"Sorry @MTVteenwolf fans, looks like @Harry_Styles won't be appearing on the show after all.. https://t.co/KSSWcH1aLM https://t.co/x03aXgLUut",,,14-Jan-14
Sports,Wrestling,,RT @WWE: The main event of #SmackDown did NOT disappoint as @WWERollins collied with @iLikeSamiZayn for the first time! https://t.co/S3DDPkd7pI,SmackDown,,30-Aug-16
Art and Entertainment,Music,,@NiallOfficial @LCFC i love you,,,21-Oct-12
Sports,Soccer,,RT @ManUtd: Jesse Lingard explains the roles of @AnderHerrera &amp; @WayneRooney in #mufc's win at Norwich: https://t.co/pkfLIESaox https://t.co/nhHegdoHHG,mufc,,31-May-16
Art and Entertainment,Music,,RT @halsey: I don't always get to stay so late after a show. But I always try my best. And the fact that I could tonight makes me so happy :),,,2-May-12
Sports,Horse Racing and Equestrian,,RT @KentuckyDerby: 8 days until #KyDerby 142! https://t.co/lx6gZ6JA7n,KyDerby,,22-Sep-14
Art and Entertainment,Movies and TV,Movies,RT @Fandango: Twerk your way to the movie theater when @PetsMovie hits theaters on July 8! https://t.co/977z1ri1ar https://t.co/9WP3YJjrSH,,,9-Dec-13
Art and Entertainment,Movies and TV,TV,RT @rowbrina_dove: #wcw goes to the queen @DoveCameron she is my idol and inspiration and even tho I'm an international fan I love her https://t.co/4dlAFUvMZd,wcw,,12-Jan-14
Sports,Soccer,,@Matty_257 @FootyAccums good way to get in teammates good books at least😂😂,,"joy,joy",27-Feb-15
Art and Entertainment,Social Media,YouTube,RT @twaimz: oh my god i just woke up and i had a dream that zayn fell in love with me i am going to be a single dog owner alone for the rest of my life,,,20-Nov-14
Sports,Soccer,,"RT @NiallOfficial: @Louis_Tomlinson  @socceraid Tommo , I now work for a premier league winning manager , don't have time for this trash talk 😄",,smile,28-May-13
Sports,Soccer,,"RT @UNILADFooty: Jose described Zlatan in three words:

Winner
Goalscorer
Funny guy 

RT if you agree",,,19-Aug-14
Sports,Olympics,,RT @TwitterSports: Follow the Olympic Flame's journey from Ancient Olympia to #Rio2016 -&gt;&gt; @OlympicFlame https://t.co/SonANow1u0,Rio2016,,8-Jan-14
Sports,Soccer,,RT @Louis_Tomlinson: @NiallOfficial @socceraid in the words of Richards Keys : it was just... Banter,,,22-Dec-12
Art and Entertainment,Music,,RT @Fool_4_Music: The production on this new @kacyhill single is exquisite. ️👌🏻 #LION @Beats1 @zanelowe,LION,ok_hand,27-Aug-14
Art and Entertainment,Music,,RT @charli_xcx: PRIDE WAS SO FUCKING INSPIRATIONAL. THE LGBT COMMUNITY IS FULL OF LOVE POWER AND FUCKING BADASS BITCHES! I HAD THE BEST TIME EVERRRR!!! 🙌🏻🙌🏻,,"raised_hands,raised_hands",19-Dec-13
Sports,Football,,"RT @uninterrupted: .@ggronko and the Gronks are out at @RobGronkowski's Pro Camp.
https://t.co/WLUv4ny6KJ",,,7-May-15
Art and Entertainment,Music,,3 years of Try Hard❤🤘 @5SOS https://t.co/w7ZJIIT7wl,,,30-May-13
Sports,Bodybuilding,,@JodieMarsh do it.! Please post link on here. #teamjodie,teamjodie,,25-Nov-13
Sports,Soccer,,@Gavriel01 @BBCSport @England @WillGrigg changing nationality might prove a tad difficult,,,13-Oct-12
Sports,Rugby,,RT @WaspsRugby: This is how the @premrugby table finished. Wasps in third after 15 wins on 72 points. https://t.co/myp7YtTeKA,,,13-May-15
Sports,Soccer,,"RT @UEFAEURO: France have never lost when Olivier Giroud has scored for Les Bleus (W11, D4). #FRA #EURO2016 https://t.co/f4INhukjXm","FRA,EURO2016",,11-Jul-13
Art and Entertainment,Music,,"RT @troyesivan: life tip: wear whatever the fuck u want, its so fun!!!",,,25-Apr-13
Art and Entertainment,,,"RT @Nashgrier: I've been vegan for almost 5 months now &amp; I feel so much better. I sleep better, I have more energy &amp; I never get sick anymore",,,18-Jul-13
Sports,Wrestling,,"RT @WWE: .@JohnCena, @BrockLesnar, and @RandyOrton were ALL drafted in Round 2... but to #RAW or #SmackDownLive? #WWEDraft https://t.co/yUyNzQoYR3","RAW,SmackDownLive,WWEDraft",,27-Mar-15
Art and Entertainment,Movies and TV,Movies,RT @louistheroux: Depressing stuff RT: Russian Insider Says State-Run Doping Fueled Olympic Gold https://t.co/TZCB47zUw6,,,15-Mar-15
Art and Entertainment,Comedy,,RT @Louis_Tomlinson: @PaddyMcGuinness I'll let you press the ball I'll drop in behind 😎,,sunglasses,4-Jul-14
Sports,Mixed Martial Arts,,So @FightOwensFight is gonna face @BrockLesnar .... Five words for you Kevin; Dont just FACE Brock. WIN.,,,11-Dec-15
Art and Entertainment,Movies and TV,TV,"RT @KimKardashian: Kendall &amp; I had some fun last night, see it all on the snap! Follow me on snapchat @kimkardashian https://t.co/3NaxDXHAMh",,,18-Aug-14
Art and Entertainment,Music,,RT @Andiluv: My Prayers go out to @TheRealGrimmie and her family! This is unreal #PrayForChristina 🙏🏾,PrayForChristina,pray,31-Dec-13
Art and Entertainment,Music,,RT @yearsandyears: We're very proud to be sharing the video for our next single Worship  https://t.co/SHEqjQm7KM 🙏,,pray,17-Feb-13
Art and Entertainment,Music,,RT @ShawnAccess: #IlluminateSept23 Head over to @ShawnMendes' official store now for a limited signed bundle! https://t.co/kJz5nSjyYL https://t.co/BMawKboqRQ,IlluminateSept23,,1-Apr-14
Sports,Sports News,,RT @SportsCenter: Kevin Durant tweeted this back in 2010. https://t.co/fk2BVj53X9,,,9-Nov-12
Art and Entertainment,Music,,RT @5SOS: doing something cool this week. #SHAREGIRLSTALKBOYS on @Spotify to reveal the GTB vid! x https://t.co/DYAIstqzwM https://t.co/CjLn6eRSxD,SHAREGIRLSTALKBOYS,,9-Aug-16
Sports,Soccer,,RT @Louis_Tomlinson: Can't believe what @LCFC have achieved ! Everyone involved in the club should be so proud.,,,9-Dec-13
Sports,Motorcycling,,#66 Can Tom do the Double today? @TheRealTomSykes  @KRT_WorldSBK @MCNSport #flickr https://t.co/EVt0YVsD8D,flickr,,30-Apr-16
Art and Entertainment,Movies and TV,TV,"RT @TeenChoiceFOX: RT to vote @BradPaisley feat. @ddlovato - ""Without a Fight"" as your #TeenChoice #ChoiceCountrySong! https://t.co/3zJZoqo63E","TeenChoice,ChoiceCountrySong",,21-May-15
Sports,Wrestling,,RT @TheRock: Thanks champ! Enjoy the show tonight! #ballers 10pm @HBO (see @JayGlazer smile big at the inappropriate gesture)😂 https://t.co/bTWUP0tjBC,ballers,joy,12-May-16
Sports,Soccer,,RT @ChampionsLeague: Congratulations Leicester City! See you in August for the #UCL group stage draw. Who do you want? https://t.co/fz386W4obr,UCL,,25-Jul-15
Sports,Soccer,,@SportsDirectUK @England @IanWright0 @StuartPearceMBE @RealRazor Wow yes please count me in :-),,,1-Jun-15
Art and Entertainment,Music,,RT @Calum5SOS: When God falls fast asleep... The kids still dance in city streets https://t.co/vWf4zHt6eZ,,,3-Apr-16
Sports,Basketball,,RT @NBATV: Tonight's pair of Game 4s are sure to entertain. Prepare for the #NBAPlayoffs action with #GameTime on NBA TV! https://t.co/1BzWmgYiq6,"NBAPlayoffs,GameTime",,20-Apr-13
Art and Entertainment,,,RT @Luke5SOS: Just had a dream I was in @AllTimeLow but was too drunk to play lead guitar in dear Maria😞,,disappointed,13-Jun-14
Art and Entertainment,Music,,RT @stylesxarmy: @thatredheadjenn @Michael5SOS @Ashton5SOS @Calum5SOS @Luke5SOS look at this,,,19-Sep-15
Art and Entertainment,Music,,"RT @halsey: New Chicago show, newly opened floor tix at MSG, and Canadian festivals. we busy yo. https://t.co/YbvqPpObN5",,,2-Jan-16
Art and Entertainment,Music,,"RT @Angus_OL: Wanna see the handsome faces of @Luke5SOS @Michael5SOS @Calum5SOS @Ashton5SOS

The boys talk #GirlsTalkBoys

Watch: https://t.co/2J6UFobUOT",GirlsTalkBoys,,26-Mar-15
Art and Entertainment,Music,,@NiallOfficial love you. wahhhh,,,5-May-14
Art and Entertainment,Social Media,YouTube,Follow me @jacobsartorius x45,,,14-Jan-16
Sports,Soccer,,RT @GaryLineker: Great save from @alanshearer Hungary's stand in keeper. https://t.co/AnIOzD3LRm,,,27-Nov-13
Sports,Soccer,,"RT @UEFAEURO: 🎧 Listen back to Pogba's first goal of #EURO2016 🎧

 https://t.co/NP9a2nrjyA",EURO2016,"headphones,headphones",24-Jan-15
Sports,Soccer,,RT @SkyFootball: WATCH: Frank Lampard gets booed by New York City FC fans during 7-0 defeat https://t.co/7SzjuiAvBo https://t.co/2thvEN3y1t,,,10-Dec-12
Art and Entertainment,Movies and TV,TV,I can smell @OITNB right around the corner with all them Queens #OITNB lol,OITNB,,12-Nov-13
Sports,Wrestling,,RT @WWE: Who will step up to challenge the #LeagueOfNations TONIGHT on #SmackDown? @WWESheamus @RusevBUL @VivaDelRio https://t.co/7ATSrNHYK5,"LeagueOfNations,SmackDown",,16-Oct-14
Sports,Horse Racing and Equestrian,,"RT @OT4WWUpdates: Niall with Pele, Nicky Byrne, @AP_McCoy @PatricKielty and @rickieHW at #SoccerAid2016 -L https://t.co/88MdGvMSD1",SoccerAid2016,,6-Aug-15
Art and Entertainment,Music,,RT @billboard: Watch Katy Perry's inspirational #RISE video https://t.co/2PPc90wl8i https://t.co/2mRmTabT2g,RISE,,18-Aug-12
Sports,Wrestling,,"RT @WWE: The first step to a good workout: MOTIVATION! @tapout gear is available NOW at @jcpenney! @truekofi
https://t.co/OsufqQhEJV",,,1-Mar-12
Sports,Sports News,,RT @GetmykicksinSW6: @SandersonSwfc @nmejimmy @jasoncundy05 @andygoldstein05 They talk rubbish EVERY night! AND you've never heard of them?? How does that work?,,,26-Dec-14
Art and Entertainment,Music,,RT @Louis_Tomlinson: @NiallOfficial @socceraid serious question here young Nialler .. Now I now your gammy knee meant your playing career was shorter than most,,,21-May-16
Sports,Soccer,,RT @TransferLatests: BREAKING - Laurent Blanc has been paid-off €22m and is no longer the manager of PSG.,,,10-Aug-12
Sports,Bicycling,,RT @LeTour: RT pour gagner le @MaillotjauneLCL / RT to win the #YellowJersey signed by @GregVanAvermaet #TDF2016 @lecoqsportif https://t.co/XClLaY4qC6,"YellowJersey,TDF2016",,13-Oct-14
Art and Entertainment,Music,,RT @zaralarsson: What time is it? That's right. Nap time.,,,22-Oct-13
Sports,Wrestling,,"RT @TheRock: Sending strength to our #Orlando victims &amp; their families. Very angry, but you can't break what you didn't build. We will rise &amp; persevere.",Orlando,,26-Aug-16
Sports,Sports News,,RT @SportsCenter: Orlando City delivers moving tribute to honor dozens of lives lost in the worst night in the city's history. https://t.co/JO6UrZ1ewb,,,24-Apr-14
Art and Entertainment,Movies and TV,TV,RT @hollabackgerl: @gwenstefani @blakeshelton You're #2 on the UK Country chart!! 👏 https://t.co/sieNcb9qjU,,clap,4-Nov-13
Art and Entertainment,Music,,@charlieputh Can u pls follow me,,,30-Jan-13
Art and Entertainment,Music,,RT @selenagomez: Cancel your plans. Today is the day! The Fundamentals of Caring is out on @Netflix. Enjoy the ride- https://t.co/KEI1d5Alvf,,,18-Dec-14
Sports,Sports News,,RT @SuperSportTV: 'Oscar Pistorius: The Interview' will be part of a Carte Blanche special on Friday 24 June. More info: https://t.co/zcUDrrqzUf,,,13-Jul-14
Art and Entertainment,Movies and TV,TV,RT @TheLastLeg: Keep those #isitok tweets coming! We're LIVE tomorrow night on @Channel4 wth the brilliant @gdavies 👍 https://t.co/cAFW5m8lQr,isitok,1,10-Jan-12
Art and Entertainment,Music,,RT @KeshaRose: its a miracle when someone gives you a chance at finding your voice again!! @zedd #truecolors  https://t.co/hRNh77AqP2,truecolors,,4-Oct-15
Sports,Soccer,,RT @SkyFootball: Mats Hummels 'losing sleep' as he deliberates Dortmund future: https://t.co/zqDuNljyZ5 https://t.co/4cxhbr4Zgx,,,11-Nov-13
Sports,Bodybuilding,,"RT @WWEUniverse: #WomensChampion @MsCharlotteWWE has joined @DanaBrookeWWE for this match, not surprisingly... #RAW https://t.co/e6uG0HooGt","WomensChampion,RAW",,14-Nov-15
Art and Entertainment,Music,,RT @troyesivan: 💙 WILD FT. PRINCESS @alessiacara COMING THURSDAY 💙 https://t.co/HZJk5amdeB,,"blue_heart,blue_heart",13-Jul-14
Sports,Soccer,,RT @ManUtd: We are United. Zlatan is Red. #ZlatanTime https://t.co/sw1hUaKczG,ZlatanTime,,13-Oct-12
Sports,Soccer,,RT @ShaneWilliams11: I've just phoned in sick! Been in @vardy7 party all night!!!! 🎉🎊🎉🎊🎉🍺🍺🍺,,"tada,confetti_ball,tada,confetti_ball,tada,beer,beer,beer",31-Jan-12
Art and Entertainment,Music,,"RT @ddlovato: The way this show is coming together is so dope @NickJonas​ 🔥 #HondaCivicTour #FutureNow
https://t.co/BZAQUEGdFG","HondaCivicTour,FutureNow",fire,24-Apr-12
Art and Entertainment,Music,,"RT @NiallOfficial: Loving the weather yet again. Summer is finally here , what's everyone upto ?",,,5-Dec-14
Art and Entertainment,Movies and TV,Movies,I Made The Book Cover Mom! 😁📚 @kekepalmer https://t.co/ooNGyzUlY9,,"grin,books",23-Dec-14
Sports,Baseball,,RT @USABaseball: A8: Commitment and passion to be excellent #USABTakeover,USABTakeover,,3-Jul-16
Art and Entertainment,Music,,"RT @ShawnMendes: #IlluminateMSG concert &amp; album event Sept 10th! 🎸 Fan presales start this Sat &amp; Sun 10a EST, https://t.co/WlUvntaqDV https://t.co/MKiKkong0p",IlluminateMSG,guitar,28-Mar-13
Sports,Wrestling,,"RT @JillSoPhotos21: One more sleep until I finally see @WWERollins live,rock this tee and see history be made on #Raw! ##WWE #Providence https://t.co/g5S35yrvMe","Raw,WWE,Providence",,18-Sep-12
Sports,Basketball,,"RT @ShaunLivingston: Rally the troops! @StephenCurry30 Get better Brodie! 
#DubNation",DubNation,,15-Sep-13
Sports,Soccer,,RT @itvfootball: As It Stands update: England will play… Portugal on Monday! #ENG #POR,"ENG,POR",,11-Mar-15
Sports,Soccer,,"RT @PaddyMcGuinness: @GaryLineker @LCFC @BBCMOTD  ""Let the Calvin see the Klein!""",,,27-Jul-15
Art and Entertainment,Music,,"RT @FifthHarmony: Hitting up @DancingABC tonight, babes. Tune in! 📺 #DWTS",DWTS,tv,29-Sep-14
Art and Entertainment,Music,,RT @toughlovemusic: #NowPlaying on @kissfmuk @NVOYsound - Lord Have Mercy #ToughLoveOnKiss,"NowPlaying,ToughLoveOnKiss",,17-Dec-14
Art and Entertainment,Comedy,,RT @addictedto1D69: @Caspar_Lee @Joe_Sugg Your photos leaked! 😂😂😱😱 https://t.co/l0Z1q4fq00,,"joy,joy,scream,scream",8-Feb-15
Art and Entertainment,Movies and TV,TV,@iJesseWilliams your speech was amazing and so powerful! I can't stop watching it. This country needs to change so badly.,,,31-Dec-15
Art and Entertainment,Social Media,YouTube,RT @CrawfordCollins: RT FOR A FOLLOW! 🤘🏻 https://t.co/Spzi3FbR4N,,,22-Jul-16
Art and Entertainment,Social Media,YouTube,@jacobsartorius @Ashton5SOS bitch nooo,,,11-Nov-15
Art and Entertainment,Movies and TV,,RT @MTV: .@JustinBieber helped these Make-A-Wish teens’ #VMA dreams come true: http://t.co/ywjvuvBJnA 💘 http://t.co/Pwikw2zjli,VMA,cupid,30-Mar-15
Art and Entertainment,Music,,RT @mgclouie: .@Michael5SOS me when you don't follow me https://t.co/Em9m5xFXAW,,,28-Feb-16
Sports,Soccer,,RT @SundayShoutsFC: When you see your ex on a night-out. 😂😂😂 https://t.co/BRwlwOVyD2,,"joy,joy,joy",28-Jan-14
Art and Entertainment,,,RT @AmazingPhil: I was so excited by 'CEREAL OF THE DAY' on the room service menu! It turned out to be cornflakes 😐,,neutral_face,14-Jul-15
Art and Entertainment,Music,,RT @Ashton5SOS: These 2 things are the same https://t.co/aXiMMZLrBl,,,20-Aug-15
Art and Entertainment,Social Media,,RT @SoDamnTrue: she bad AF 😍 https://t.co/i1BxwU0nBz,,heart_eyes,13-Jun-15
Sports,Soccer,,RT @UEFAEURO: Kalinić lays the ball off to his No4 who strikes the ball beyond De Gea courtesy of a slight deflection. #CROESP https://t.co/WaKHDyVykV,CROESP,,13-Apr-12
Art and Entertainment,Music,,RT @nicktaughtyou: @kanyewest I'm cryin,,,4-Feb-14
Sports,Soccer,,RT @ManUtd: .@DarmianOfficial opened his account in style v Palace - was it our best strike in April? https://t.co/NgmRxOI6q5 https://t.co/lRZlVOwnbF,,,15-Jan-15
Art and Entertainment,Music,,RT @OnAirWithRyan: Ummm this girl snuck into @JackAndJack's show at #BeautyconLA https://t.co/aVWx5zltbH,BeautyconLA,,9-Jan-14
Sports,Soccer,,RT @Louis_Tomlinson: @NiallOfficial @socceraid they don't give that kind of qualification in Dublin,,,17-Aug-14
Sports,NASCAR,,RT @NASCAR: .@DanicaPatrick rocked the #ESPYS red carpet: https://t.co/3CEhGrXT7p https://t.co/vXsFznv1w5,ESPYS,,10-Mar-13
Art and Entertainment,Music,,"RT @DONBROCO: Thanks to the @5SOS lads for an amazing 6 weeks in the UK &amp; Europe, have fun stateside boys! 📷: @HOEG #slfl https://t.co/B4XRz72ViM",slfl,camera,26-Sep-13
Sports,Ice Hockey,,RT @penguins: Scratch my back with a hacksaw! Mike Lange and Phil Bourque want to meet you at the Cranberry DICK'S Sporting Goods on TODAY at 12:00PM ET.,,,9-Mar-15
Art and Entertainment,Music,,RT @5SOS: Thank you for everything. https://t.co/DfTx92jt3A,,,11-Nov-14
Sports,Wrestling,,RT @WWE: A huge title victory for @TheRock came in 2002 when he defeated BOTH The #Undertaker &amp; @RealKurtAngle at Vengeance! https://t.co/LOtVhmw7Au,Undertaker,,5-Nov-12
Sports,Mixed Martial Arts,,"RT @MieshaTate: The fight didn't go as I had planned, Amanda is such a strong and amazing fighter and… https://t.co/R5KtbKQByq",,,9-Mar-15
Sports,Basketball,,"RT @HoopsonFOX: Thirteen years in the making, it all led up to this.

@KingJames got it done for Cleveland. #CavsParade https://t.co/EGNa0zmsOU",CavsParade,,25-Jul-16
Sports,Basketball,,"RT @spurs: Our 2015-16 recaps are complete for every player.

👉🏾  https://t.co/bdle5u30ms https://t.co/wnEFgDsLWd",,point_right,15-Jun-16
Art and Entertainment,Music,,RT @FootwearNews: Exclusive First Look: @Zendaya's Spring '17 Shoe Collection https://t.co/5KUDadPySi https://t.co/nRoRmgHDPT,,,14-Jul-12
Sports,Soccer,,"RT @eFanswer: #NerosuBianco Send out yours, tag @eFanswer! @ClaMarchisio8 https://t.co/RxrzDzf7J0 https://t.co/xAOBM7knlM",NerosuBianco,,19-Aug-14
Sports,Soccer,,"RT @SeattleReignFC: 66' #ReignFC substitution
IN: Pickett
OUT: Barnes
#KCvSEA","ReignFC,KCvSEA",,30-Apr-14
Sports,Soccer,,RT @socceraid: #SoccerAid ROW team have only gone and booked @NiallOfficial as Assistant Manager alongside Claudio Ranieri! https://t.co/lXyPi9KyHX,SoccerAid,,25-May-13
Art and Entertainment,Movies and TV,TV,RT @CandiceAccola: My heart is with Orlando and the LGBTQ community today. There are no words. Just tears. #PrayForOrlando #LoveConquersHate,"PrayForOrlando,LoveConquersHate",,2-Aug-14
Art and Entertainment,Music,,"RT @WORLDMUSICAWARD: #JustinBieber's New Single with #MajorLazer drops on Friday! @justinbieber @MAJORLAZER
https://t.co/pogsjiD3rD https://t.co/Wr7hICR4E3","JustinBieber,MajorLazer",,18-Jul-15
Sports,Golf,,"RT @Challenge_Tour: Congratulations @tommckibbin8 👏👏👏

See you in July after @NiallOfficial's invite 👍 https://t.co/O8VRPwjYVA",,"clap,clap,clap,+1",15-Feb-12
